id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,minted_market_cap,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,12503,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19966109.0,19966109.0,False,1750774938126.37,,1,,,,2025-12-23T19:56:00.000Z,87687.3374840523,43235107069.24109,20.6321,-0.22912834,-0.40282996,0.07403437,0.19868643,-20.74634729,-22.72504436,1750774938126.374,59.15,1841434087165.1,,2025-12-23T19:56:00.000Z,,,,,,2025-12-24 00:58:28.554829
1027,Ethereum,ETH,ethereum,11293,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sophon-ecosystem']",,120694996.47928987,120694996.47928987,True,354763234282.85,,2,,,,2025-12-23T19:56:00.000Z,2939.336713462841,20761723401.50212,9.0204,-0.18983317,-1.26084997,-0.20585455,3.92545201,-25.22605641,-29.44127203,354763234282.8451,11.9857,354763234282.85,,2025-12-23T19:56:00.000Z,,,,,,2025-12-24 00:58:28.554829
825,Tether USDt,USDT,tether,163953,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,186906835256.83847,188851514010.53958,True,188760139951.13,,3,,,,2025-12-23T19:56:00.000Z,0.9995161592434549,76881556155.28076,-5.5557,-0.00830809,-0.00541285,-0.02642047,-0.00268674,-0.05981261,-0.08933837,186816402112.26434,6.3116,188760139951.13,,2025-12-23T19:56:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-12-24 00:58:28.554829
1839,BNB,BNB,bnb,3020,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",137734890.2,137734890.2,137734890.2,False,115846471355.67,,4,,,,2025-12-23T19:57:00.000Z,841.0829760524122,1741422707.3186235,-8.7971,-0.44044015,-2.00888037,-3.36426215,-1.10440291,-24.28763493,-17.28695068,115846471355.66821,3.9139,115846471355.67,,2025-12-23T19:57:00.000Z,,,,,,2025-12-24 00:58:28.554829
52,XRP,XRP,xrp,1774,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022']",100000000000.0,60572944636.0,99985740916.0,False,188134233143.76,,5,,,,2025-12-23T19:56:00.000Z,1.8816106318781634,2430183580.983966,1.2085,0.02428259,-1.11547801,-2.4196347,-9.38928655,-25.00108485,-37.07840044,113974696631.26497,3.8492,188161063187.82,,2025-12-23T19:56:00.000Z,,,,,,2025-12-24 00:58:28.554829
3408,USDC,USDC,usd-coin,35777,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'stellar-ecosystem', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'monad-ecosystem', 'xlayer-ecosystem']",,77037743315.5029,77037743315.5029,False,77017552983.59,,6,60901219650.23,60885258437.12142,,2025-12-23T19:56:00.000Z,0.9997379163635761,19193312012.694702,73.4898,-0.00547192,-0.00593305,-0.00598633,0.01011695,-0.01723391,-0.00555811,77017552983.59288,2.602,77017552983.59,,2025-12-23T19:56:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-12-24 00:58:28.554829
5426,Solana,SOL,solana,1065,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,562415376.1660095,616723999.5182328,True,76379304130.84,,7,525236893.3,65048917255.42654,,2025-12-23T19:56:00.000Z,123.8468167129922,3170722688.5327005,-6.5586,0.02551512,-0.85638215,-3.07684402,-6.63203726,-35.90874053,-42.028624,69653354008.60034,2.3532,76379304130.84,,2025-12-23T19:56:00.000Z,,,,,,2025-12-24 00:58:28.554829
1958,TRON,TRX,tron,1272,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'made-in-china']",,94687449165.4645,94687466588.96089,True,26771185542.83,,8,94667886298.43,26765649566.316788,,2025-12-23T19:56:00.000Z,0.28273209229517443,439583371.7085878,-29.104,-0.03935483,-0.6055372,0.69824041,2.62374065,-7.31785904,-16.65325557,26771180616.644745,0.9045,26771185542.83,,2025-12-23T19:56:00.000Z,,,,,,2025-12-24 00:58:28.554829
74,Dogecoin,DOGE,dogecoin,1361,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,168017403126.57907,168017403126.57907,True,21663629147.91,,9,,,,2025-12-23T19:56:00.000Z,0.12893681692952183,978582402.3641502,-6.6638,-0.62619698,-2.3834438,-2.50532253,-12.20476309,-34.46274776,-47.15738816,21663629147.905396,0.7319,21663629147.91,,2025-12-23T19:56:00.000Z,,,,,,2025-12-24 00:58:28.554829
2010,Cardano,ADA,cardano,1646,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022']",45000000000.0,35925947464.89537,44994433987.369934,False,16244847128.91,,10,37997904336.0,13718811249.64406,,2025-12-23T19:56:00.000Z,0.3610412597582803,483788784.132281,-18.928,-0.69470993,-2.08811159,-6.79973222,-12.80723394,-44.8794185,-56.19618217,12970749330.73562,0.4382,16246856689.12,,2025-12-23T19:56:00.000Z,,,,,,2025-12-24 00:58:28.554829
